strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
GCF_900501035.1	Klebsiella pneumoniae	strong	96	261729	711950	5522143	no	-	ST15	0	0	6	11	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	none	Very high	99.99%		O1v1	none	Very high	98.52%		aac(3)-IId^;aac(6')-Ib'.v1;aadA*;strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v1^	OXA-9.v1;SCO-1;TEM-1D.v1^	-	-	-	-	-	-	OmpK35-64%	-	GyrA-83F;GyrA-87A;ParC-80I	-	SHV-107?-73%;aac(3)-IIa.v1?-0%	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501045.1	Klebsiella pneumoniae	strong	76	328436	931133	5336958	no	-	ST617	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL122	none	Very high	99.93%		O2v2	none	Very high	98.47%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST617	2	9	1	1	13	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501055.1	Klebsiella pneumoniae	strong	517	762872	1320735	5577460	no	-	ST605	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi130	KL58	none	Very high	99.29%		O3b	none	Very high	98.90%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST605	4	35	2	1	112	7	70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501075.1	Klebsiella pneumoniae	strong	129	437266	1069156	5579880	no	-	ST45	1	0	0	0	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	wzi5	KL5	*	Very high	99.21%		O3b	none	Very high	99.37%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21*	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501085.1	Klebsiella pneumoniae	strong	615	350484	676461	5922661	no	-	ST107	3	0	5	6	-	0	-	0	iuc 5	62-1LV	iro 5	34-1LV	-	0	-	-	KL142	none	Very high	99.81%		O1v1	none	Very high	98.31%		strA.v1*;strB.v1*	-	-	-	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v1^	TEM-1D.v1^	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST107	2	1	2	17	27	1	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45*	12	33	35	61	23	48	17	19*	-	-	-	-
GCF_900501155.1	Klebsiella pneumoniae	strong	133	225159	630162	5549645	no	-	ST15	0	2	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	none	Very high	99.99%		O1v1	none	Very high	98.52%		aac(3)-IIa.v1;aac(6')-Ib'.v2*?	-	-	-	-	mphE.v2;msrE	catA1^;catB2.v1	-	sul1	-	-	dfrB1	OXA-9.v1;SCO-1;TEM-1D.v1^	-	-	-	VIM-1	SHV-28.v1^	-	OmpK35-64%	-	GyrA-83F;GyrA-87A;ParC-80I	aadA?-86%	aac(3)-IId?-0%	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501165.1	Klebsiella pneumoniae	strong	150	362441	535439	5528749	no	-	ST3370	1	0	0	0	ybt 0; missing T4SS	314-2LV	-	0	-	0	-	0	-	0	-	wzi39	KL39	none	Very high	99.53%		O5	*	High	94.27%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108^	35Q	-	-	-	-	TEM-10.v2?-51%;sul2?-0%	ST3370	2	1	2	14	9	187	5	68	74	79	85	53	214	215	58	50*	100*	105	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501185.1	Klebsiella pneumoniae	strong	782	284530	727471	5937922	no	-	ST15	0	2	8	9	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL39	*	Very high	98.58%		O1v1	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	-	-	dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501195.1	Klebsiella pneumoniae	strong	275	222201	475598	5629422	no	-	ST11	0	0	7	14	-	0	-	0	-	0	-	0	-	0	-	wzi100	KL10	?	Good	96.75%		O3/O3a	?-	Good	97.96%	O3/O3a_08_wbdC	aac(6')-Ib-cr.v2;aadA16*;aadA2;aadA^;strA.v1	-	-	qnrB19^;qnrB6^	-	-	cmlA1*	arr-3	sul1;sul1;sul3	-	-	dfrA27	TEM-1D.v1^	-	-	-	-	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	strB.v1*-35%	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501205.1	Klebsiella pneumoniae	strong	883	358239	767090	5551356	no	-	ST45	1	2	1	1	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	0	-	wzi101	KL24	none	Very high	99.02%		O2v1	none	Very high	98.76%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-58	SHV-1	-	-	-	-	-	-	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501225.1	Klebsiella pneumoniae	strong	88	403084	1024735	5381273	no	-	ST17	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi82	KL38	none	Very high	98.98%		O2v2	none	Very high	98.45%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	aac(6')-Ib'.v1?-0%	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501235.1	Klebsiella pneumoniae	strong	339	185713	450242	5844120	no	-	ST258	1	3	9	9	ybt 13; ICEKp2	299-1LV	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.97%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	-	-	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126*-40%	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501255.1	Klebsiella pneumoniae	strong	134	303226	623663	5449387	no	-	ST86	3	0	0	0	-	0	-	0	iuc 1	1	iro 1	1	rmp 1; KpVP-1	26	rmpA2_9*-50%	wzi2	KL2	none	Very high	99.94%		O1v1	none	Very high	98.46%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST86	9	4	2	1	1	1	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	2	2	2	-
GCF_900501265.1	Klebsiella pneumoniae	strong	80	316912	593512	5578216	no	-	ST11	1	2	7	6	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi24	KL24	?	Good	99.99%		O2v1	none	Very high	98.52%		-	-	-	-	-	mphA	CatB4.v1?	-	-	tet(A).v1	-	dfrA14.v1^	OXA-1	-	-	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	aac(6')-Ib-cr.v2*?-0%	-	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501275.1	Klebsiella pneumoniae	strong	136	289924	589893	5571216	no	-	ST39	1	2	4	3	ybt 14; ICEKp5	151	-	0	-	0	-	0	-	0	-	wzi83	KL23	none	Very high	99.91%		O1/O2v2	none	Very high	98.49%		-	-	-	-	-	-	catA1^	-	-	tet(D)	-	-	-	-	-	-	KPC-3	SHV-1^	-	OmpK36GD	-	GyrA-83I;GyrA-87N;ParC-80I	-	-	ST39	2	1	2	4	9	1	14	4	4	5	4	1	69	62	2	4	4	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501285.1	Klebsiella pneumoniae	strong	59	371902	775553	5379760	no	-	ST2451	1	0	0	0	ybt 4; plasmid	329-2LV	-	0	-	0	-	0	-	0	-	-	KL35	none	Very high	99.48%		O1v1	none	Very high	98.80%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-28.v1^	-	-	-	-	-	-	ST2451	2	1	2	1	9	1	9	18	41	27	46	13	41*	71*	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501295.1	Klebsiella pneumoniae	strong	204	270572	804302	5707171	no	-	ST258	1	2	8	9	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.98%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501315.1	Klebsiella pneumoniae	strong	189	293693	536550	5499207	no	-	ST20	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi421	KL22	-	Good	99.08%	KL22_17	O2v2	none	Very high	98.39%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST20	2	3	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501325.1	Klebsiella pneumoniae	strong	90	215603	804561	5591638	no	-	ST258	1	0	7	7	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.98%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	-	-	-	-	-	-	-	OmpK35-25%	MgrB-62%	GyrA-83I;ParC-80I	SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501335.1	Klebsiella pneumoniae	strong	61	345457	1039351	5499669	no	-	ST14	0	0	2	3	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.74%		O1v1	none	Very high	99.99%		strA.v1;strB.v1	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-1^	-	OmpK35-64%	-	-	sul1?-0%	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501345.1	Klebsiella pneumoniae	strong	52	377327	1425201	5544295	no	-	ST76	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi100	KL10	none	Very high	96.75%		O3/O3a	none	Very high	97.97%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST76	4	1	1	1	21	1	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501355.1	Klebsiella pneumoniae	strong	66	369616	814823	5549792	no	-	ST3072	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi160	KL39	none	Very high	99.26%		O2v1	none	Very high	98.72%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST3072	4	4	1	97	27	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
